day_disabled,day_label,date,reason_string
True,"1, Thursday, August 2024. Past dates can’t be selected. ",2024-08-01,Past dates can’t be selected.
True,"2, Friday, August 2024. Past dates can’t be selected. ",2024-08-02,Past dates can’t be selected.
True,"3, Saturday, August 2024. Past dates can’t be selected. ",2024-08-03,Past dates can’t be selected.
True,"4, Sunday, August 2024. Past dates can’t be selected. ",2024-08-04,Past dates can’t be selected.
True,"5, Monday, August 2024. Past dates can’t be selected. ",2024-08-05,Past dates can’t be selected.
True,"6, Tuesday, August 2024. Past dates can’t be selected. ",2024-08-06,Past dates can’t be selected.
True,"7, Wednesday, August 2024. Past dates can’t be selected. ",2024-08-07,Past dates can’t be selected.
True,"8, Thursday, August 2024. Past dates can’t be selected. ",2024-08-08,Past dates can’t be selected.
True,"9, Friday, August 2024. Past dates can’t be selected. ",2024-08-09,Past dates can’t be selected.
True,"10, Saturday, August 2024. Past dates can’t be selected. ",2024-08-10,Past dates can’t be selected.
True,"11, Sunday, August 2024. Past dates can’t be selected. ",2024-08-11,Past dates can’t be selected.
True,"12, Monday, August 2024. Past dates can’t be selected. ",2024-08-12,Past dates can’t be selected.
True,"13, Tuesday, August 2024. Past dates can’t be selected. ",2024-08-13,Past dates can’t be selected.
True,"14, Wednesday, August 2024. Past dates can’t be selected. ",2024-08-14,Past dates can’t be selected.
True,"15, Thursday, August 2024. Past dates can’t be selected. ",2024-08-15,Past dates can’t be selected.
True,"16, Friday, August 2024. Past dates can’t be selected. ",2024-08-16,Past dates can’t be selected.
True,"17, Saturday, August 2024. Past dates can’t be selected. ",2024-08-17,Past dates can’t be selected.
True,"18, Sunday, August 2024. Past dates can’t be selected. ",2024-08-18,Past dates can’t be selected.
True,"19, Monday, August 2024. Past dates can’t be selected. ",2024-08-19,Past dates can’t be selected.
True,"20, Tuesday, August 2024. Past dates can’t be selected. ",2024-08-20,Past dates can’t be selected.
True,"21, Wednesday, August 2024. Past dates can’t be selected. ",2024-08-21,Past dates can’t be selected.
True,"22, Thursday, August 2024. Past dates can’t be selected. ",2024-08-22,Past dates can’t be selected.
True,"23, Friday, August 2024. Past dates can’t be selected. ",2024-08-23,Past dates can’t be selected.
True,"24, Saturday, August 2024. Past dates can’t be selected. ",2024-08-24,Past dates can’t be selected.
